time="2024-01-30 20:47:08" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=187 HostName=DESKTOP-HIPHS03 Method=POST Path=/login SpendTime="22 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-30 20:47:08" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=37 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/article/cateArt SpendTime="3 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-30 20:47:08" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=37 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/article/cateArt SpendTime="1 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-30 20:47:08" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=3506 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/article/detail SpendTime="4 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-30 20:47:08" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=1967 HostName=DESKTOP-HIPHS03 Method=GET Path="/api/v1/article/detail?pageSize=6&pageNum=1" SpendTime="1 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-30 20:47:08" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=424 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/category/detail SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-30 20:47:08" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=37 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/article/cateArt SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-30 20:47:08" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=37 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/article/cateArt SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-30 20:47:08" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=3506 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/article/detail SpendTime="1 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-30 20:47:08" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=1967 HostName=DESKTOP-HIPHS03 Method=GET Path="/api/v1/article/detail?pageSize=6&pageNum=1" SpendTime="1 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-30 20:47:08" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=424 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/category/detail SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-30 20:48:08" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=1762 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/manager/ SpendTime="3 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-30 20:56:08" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=37 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/article/cateArt SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
